unit,isced11,indic_wb,sex,age,time\geo	EU 	EU28 	BE 	BG 	CZ 	DK 	DE 	EE 	IE 	EL 	ES 	FR 	HR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	NL 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	UK 	IS 	NO 	CH 	RS 	TR 
RTG,ED0-2,LEGTST,F,Y16-24,2013	4.8 e	4.8 e	5.2 	3.4 	4.7 	7.0 	5.4 	5.4 	5.0 u	4.7 	3.1 	4.7 	3.0 u	3.7 	4.0 	5.1 	6.0 	4.9 	5.0 	5.2 u	6.4 	6.3 	4.4 	3.6 	5.9 	3.3 	4.0 	7.0 	7.0 	5.3 u	5.3 	7.0 	7.1 	4.2 	5.9 
RTG,ED0-2,LEGTST,F,Y25-34,2013	3.9 e	3.9 e	4.1 	2.5 	3.4 u	: u	4.5 	4.9 	4.5 	4.9 	2.9 	3.9 	3.4 u	3.2 	3.7 	4.8 	4.8 u	5.1 	4.4 	4.6 	5.2 	5.3 	4.0 	3.2 	5.4 	2.1 u	: u	5.6 u	: u	4.8 	5.1 	6.7 u	7.1 u	3.2 	5.9 
RTG,ED0-2,LEGTST,F,Y35-49,2013	3.7 e	3.7 e	4.8 	2.7 	3.4 	6.7 	4.0 	5.1 	4.3 	4.2 	2.8 	3.7 	2.9 	3.4 	3.1 	4.1 	4.7 	4.9 	4.5 	4.9 	5.7 	5.7 	3.8 	2.6 	5.6 	2.7 	2.2 u	6.2 	6.6 u	4.6 	4.9 	7.0 	7.1 	3.2 	5.6 
RTG,ED0-2,LEGTST,F,Y50-64,2013	3.9 	3.9 	4.3 	2.9 	3.2 	7.3 	4.5 	4.7 	4.4 	4.2 	2.7 	4.0 	2.9 	3.2 	3.4 	4.3 	5.4 	4.8 	4.9 	4.8 	5.9 	5.2 	4.1 	2.7 	5.6 	2.2 	3.4 	6.7 	6.2 	4.8 	5.0 	7.1 	6.5 	3.4 	5.6 
RTG,ED0-2,LEGTST,F,Y65-74,2013	4.1 	4.1 	4.7 	2.9 	3.3 	6.9 	5.0 	4.8 	5.1 	4.3 	2.9 	3.9 	3.1 	3.3 	3.7 	4.2 	4.8 	4.6 	5.2 	5.4 	5.7 	5.5 	4.1 	2.7 	5.5 	2.2 	3.7 	7.1 	6.7 	5.0 	4.9 	6.7 	6.2 	3.9 	5.4 
RTG,ED0-2,LEGTST,F,Y_GE16,2013	4.1 	4.1 	4.7 	2.9 	3.6 	6.9 	4.8 	5.0 	4.8 	4.4 	2.9 	4.1 	3.1 	3.4 	3.7 	4.6 	5.2 	4.8 	5.0 	5.0 	5.8 	5.6 	4.3 	2.8 	5.6 	2.4 	3.6 	6.9 	6.7 	5.1 	5.1 	7.0 	6.7 	3.6 	5.7 
RTG,ED0-2,LEGTST,F,Y_GE75,2013	4.4 	4.4 	4.9 	2.9 	3.8 	7.0 	5.3 	4.9 	5.4 	4.4 	3.3 	4.3 	3.4 	3.5 	4.4 	4.7 	5.2 	5.0 	5.3 	5.1 	5.8 	5.3 	4.7 	3.0 	5.7 	2.3 	3.8 	7.1 	6.8 	5.6 	5.5 	7.2 	6.5 	3.8 	5.4 
RTG,ED0-2,LEGTST,M,Y16-24,2013	4.6 e	4.6 e	5.4 	2.8 	4.5 	6.8 	5.3 	5.2 	5.4 u	4.4 	2.9 	4.2 	3.4 u	4.0 	3.7 	4.4 	5.3 	5.2 	5.0 	3.8 	5.5 	6.0 	4.7 	3.8 	6.1 	2.8 	3.8 	7.3 	6.8 	: u	5.7 	6.9 	7.0 	3.5 	5.5 
RTG,ED0-2,LEGTST,M,Y25-34,2013	3.4 e	3.4 e	4.6 	2.8 	2.7 u	: u	4.5 u	4.7 	5.1 u	3.7 	2.5 	3.0 	3.4 u	2.9 	2.8 	4.1 	3.8 u	5.6 u	4.5 	4.6 	5.3 	5.4 	3.6 	3.0 	5.9 	3.1 u	2.2 u	6.5 	6.1 u	4.1 	5.2 	6.3 	7.5 u	2.8 	5.4 
RTG,ED0-2,LEGTST,M,Y35-49,2013	3.6 e	3.6 e	4.3 	2.4 	2.7 u	6.2 	4.5 	5.0 	4.8 	3.9 	2.7 	4.1 	3.1 	3.4 	3.2 	4.0 	4.4 	4.9 	4.3 	4.6 	5.3 	5.4 	3.5 	2.5 	5.4 	2.2 	3.6 u	6.4 	6.2 u	4.2 	5.6 	6.5 	7.1 	3.3 	5.5 
