country,year,count
US,2015,3571
US,2014,3395
US,2013,3206
US,2012,3025
GB,2015,2741
US,2011,2717
US,2009,2660
US,2010,2652
US,2008,2595
GB,2014,2498
GB,2013,2282
GB,2012,2038
GB,2011,1831
GB,2010,1737
GB,2009,1702
GB,2008,1566
DE,2015,1071
DE,2014,1000
DE,2012,964
DE,2013,953
IT,2015,842
DE,2011,826
DE,2010,759
FR,2015,745
ES,2015,713
FR,2014,697
IT,2012,675
IT,2014,673
FR,2013,668
DE,2008,647
IT,2013,647
DE,2009,634
FR,2012,606
ES,2014,578
AU,2014,573
ES,2013,544
FR,2010,537
IT,2011,526
FR,2011,521
CH,2015,511
IT,2010,488
AU,2015,480
ES,2012,461
BR,2014,455
CH,2014,437
ES,2011,433
FR,2009,430
IT,2009,427
CH,2013,427
CH,2012,409
CA,2014,406
AU,2013,404
BR,2015,404
IT,2008,402
FR,2008,402
CA,2015,396
ES,2010,380
CA,2012,366
ES,2009,351
CA,2013,345
CH,2011,338
BR,2013,325
AU,2012,321
BR,2012,318
CA,2011,316
CH,2010,307
NL,2015,298
ES,2008,286
AU,2010,271
AU,2011,270
CH,2009,266
CA,2008,263
BR,2011,261
CH,2008,260
NL,2013,259
CA,2009,259
CA,2010,259
AU,2009,255
NL,2014,252
BE,2015,237
SE,2015,232
BE,2014,220
BR,2010,209
BR,2009,207
AU,2008,206
NL,2012,205
NL,2010,201
SE,2014,200
NL,2011,194
BE,2013,189
BR,2008,182
SE,2013,168
NL,2009,161
JP,2015,159
JP,2014,153
BE,2011,151
SE,2012,150
NL,2008,142
PT,2014,141
PT,2015,139
BE,2012,135
SE,2011,133
BE,2010,128
BE,2008,120
AT,2015,118
JP,2012,117
BE,2009,115
SE,2010,111
AT,2014,107
PT,2013,105
MX,2015,104
DK,2015,103
SE,2009,100
JP,2013,95
JP,2010,94
JP,2011,93
PT,2012,89
JP,2008,88
TR,2015,86
MX,2012,85
MX,2014,84
DK,2013,80
FI,2015,79
SE,2008,78
AT,2013,77
JP,2009,76
TR,2014,74
HU,2014,72
PT,2011,69
DK,2014,68
AT,2012,68
MX,2013,67
PT,2010,67
MX,2010,63
HU,2015,61
OM,2015,61
OM,2012,60
PT,2009,57
HU,2012,57
MX,2011,56
TR,2013,55
HU,2013,55
IE,2015,54
CZ,2015,53
TR,2012,53
CN,2015,52
NO,2015,52
OM,2014,52
FI,2014,51
OM,2010,51
CL,2014,51
AT,2010,49
MX,2009,49
AT,2011,49
OM,2011,49
IL,2015,49
PL,2015,48
AR,2015,48
AT,2009,48
DK,2009,48
AR,2014,47
HU,2010,47
OM,2013,47
IL,2014,47
CL,2015,46
TR,2011,45
FI,2012,45
AR,2011,45
DK,2012,44
FI,2013,43
AR,2010,43
IN,2014,43
NO,2014,42
AT,2008,42
CL,2013,41
HU,2008,40
ZA,2014,40
SA,2015,40
HU,2011,40
MX,2008,39
IL,2013,39
CL,2012,38
IE,2010,38
AR,2013,37
EG,2015,37
PT,2008,37
ZA,2015,36
FI,2010,36
SA,2014,36
QA,2015,36
TR,2009,35
FI,2011,35
FI,2009,35
CL,2011,35
CN,2014,35
NO,2012,35
IL,2010,35
CZ,2013,35
FI,2008,35
CL,2009,33
ZA,2012,33
AR,2008,32
EG,2014,32
TR,2010,32
CZ,2014,32
IE,2014,31
IL,2012,31
RU,2015,31
