country,esco,count
ITALIA,Service and sales workers,310797
IRELAND,Professionals,166131
UNITED KINGDOM,Clerical support workers,343447
UNITED KINGDOM,"Plant and machine operators, and assemblers",134736
UNITED KINGDOM,Managers,920875
DEUTSCHLAND,Elementary occupations,499789
ČESKÁ REPUBLIKA,"Skilled agricultural, forestry and fishery workers",1640
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",7371
IRELAND,"Skilled agricultural, forestry and fishery workers",63
UNITED KINGDOM,Technicians and associate professionals,958368
ČESKÁ REPUBLIKA,Service and sales workers,52584
UNITED KINGDOM,Craft and related trades workers,157686
DEUTSCHLAND,Clerical support workers,406815
DEUTSCHLAND,Managers,61476
ČESKÁ REPUBLIKA,Professionals,29899
UNITED KINGDOM,"Skilled agricultural, forestry and fishery workers",4066
DEUTSCHLAND,Craft and related trades workers,555015
IRELAND,Service and sales workers,26323
ITALIA,Professionals,618591
ČESKÁ REPUBLIKA,"Plant and machine operators, and assemblers",45749
IRELAND,"Plant and machine operators, and assemblers",2878
DEUTSCHLAND,Service and sales workers,267746
ČESKÁ REPUBLIKA,Technicians and associate professionals,43640
ČESKÁ REPUBLIKA,Clerical support workers,28142
DEUTSCHLAND,Technicians and associate professionals,390656
IRELAND,Technicians and associate professionals,93854
ITALIA,Elementary occupations,209862
IRELAND,Managers,77855
ITALIA,Clerical support workers,429728
ČESKÁ REPUBLIKA,Managers,5371
IRELAND,Craft and related trades workers,3696
ITALIA,"Plant and machine operators, and assemblers",263266
ČESKÁ REPUBLIKA,Elementary occupations,35405
ITALIA,"Skilled agricultural, forestry and fishery workers",7983
UNITED KINGDOM,Service and sales workers,543145
IRELAND,Elementary occupations,7693
IRELAND,Clerical support workers,26908
DEUTSCHLAND,Professionals,313760
DEUTSCHLAND,"Plant and machine operators, and assemblers",258842
UNITED KINGDOM,Professionals,1474238
ITALIA,Technicians and associate professionals,841407
ITALIA,Craft and related trades workers,405123
UNITED KINGDOM,Elementary occupations,144924
ITALIA,Managers,61331
ČESKÁ REPUBLIKA,Craft and related trades workers,50179
