country,esco,date,count
ITALIA,Technicians and associate professionals,2016-02-01,8674
DEUTSCHLAND,Technicians and associate professionals,2015-05-01,18529
ČESKÁ REPUBLIKA,Professionals,2015-05-01,2055
IRELAND,Service and sales workers,2016-02-01,1945
UNITED KINGDOM,Managers,2014-09-01,6
ČESKÁ REPUBLIKA,Technicians and associate professionals,2014-03-01,5
UNITED KINGDOM,Service and sales workers,2014-06-01,6
DEUTSCHLAND,Clerical support workers,2015-02-01,116
ČESKÁ REPUBLIKA,Clerical support workers,2015-03-01,166
ITALIA,Managers,2015-06-01,1562
ITALIA,Professionals,2015-11-01,7710
UNITED KINGDOM,Technicians and associate professionals,2013-08-01,6
ČESKÁ REPUBLIKA,Managers,2014-08-01,2
DEUTSCHLAND,Craft and related trades workers,2012-09-01,18
ITALIA,"Plant and machine operators, and assemblers",2015-05-01,2225
ITALIA,Elementary occupations,2015-07-01,25783
ITALIA,"Plant and machine operators, and assemblers",2015-08-01,77543
UNITED KINGDOM,"Plant and machine operators, and assemblers",2016-01-01,5529
IRELAND,Clerical support workers,2015-09-01,2346
DEUTSCHLAND,Clerical support workers,2014-04-01,33
DEUTSCHLAND,"Plant and machine operators, and assemblers",2012-12-01,11
UNITED KINGDOM,Clerical support workers,2015-03-01,43
ITALIA,Professionals,2014-01-01,2
ITALIA,Professionals,2014-06-01,8
UNITED KINGDOM,"Plant and machine operators, and assemblers",2015-03-01,20
UNITED KINGDOM,Managers,2013-12-01,3
DEUTSCHLAND,Craft and related trades workers,2015-12-01,33235
DEUTSCHLAND,Clerical support workers,2016-02-01,33439
DEUTSCHLAND,Professionals,2015-04-01,1755
IRELAND,Clerical support workers,2016-04-01,2285
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2014-08-01,8
DEUTSCHLAND,"Plant and machine operators, and assemblers",2014-07-01,39
DEUTSCHLAND,Professionals,2015-03-01,545
ITALIA,Technicians and associate professionals,2013-01-01,1
DEUTSCHLAND,Technicians and associate professionals,2014-04-01,13
DEUTSCHLAND,Technicians and associate professionals,2013-04-01,9
UNITED KINGDOM,"Plant and machine operators, and assemblers",2015-01-01,4
DEUTSCHLAND,Technicians and associate professionals,2012-12-01,11
ČESKÁ REPUBLIKA,Technicians and associate professionals,2015-03-01,435
ČESKÁ REPUBLIKA,Professionals,2014-10-01,33
ČESKÁ REPUBLIKA,Managers,2014-07-01,2
ČESKÁ REPUBLIKA,"Plant and machine operators, and assemblers",2014-08-01,14
DEUTSCHLAND,Managers,2015-04-01,208
DEUTSCHLAND,Clerical support workers,2012-12-01,9
UNITED KINGDOM,Technicians and associate professionals,2012-07-01,1
DEUTSCHLAND,Craft and related trades workers,2014-02-01,26
DEUTSCHLAND,Technicians and associate professionals,2013-06-01,10
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2013-12-01,2
ČESKÁ REPUBLIKA,Craft and related trades workers,2015-07-01,2961
ČESKÁ REPUBLIKA,"Plant and machine operators, and assemblers",2015-12-01,1839
IRELAND,Professionals,2015-08-01,9885
DEUTSCHLAND,Elementary occupations,2014-06-01,25
DEUTSCHLAND,Elementary occupations,2012-10-01,14
ČESKÁ REPUBLIKA,"Plant and machine operators, and assemblers",2014-01-01,1
UNITED KINGDOM,Elementary occupations,2014-04-01,1
ČESKÁ REPUBLIKA,Managers,2015-12-01,259
ČESKÁ REPUBLIKA,Technicians and associate professionals,2016-01-01,3088
ITALIA,Craft and related trades workers,2015-04-01,1462
UNITED KINGDOM,Service and sales workers,2015-01-01,35
DEUTSCHLAND,Service and sales workers,2012-12-01,4
UNITED KINGDOM,Professionals,2012-03-01,1
IRELAND,Clerical support workers,2015-07-01,1700
IRELAND,Technicians and associate professionals,2016-03-01,7218
ČESKÁ REPUBLIKA,Elementary occupations,2016-02-01,2267
ČESKÁ REPUBLIKA,"Skilled agricultural, forestry and fishery workers",2016-06-01,78
ITALIA,Elementary occupations,2014-02-01,1
ITALIA,Clerical support workers,2016-04-01,6736
UNITED KINGDOM,"Skilled agricultural, forestry and fishery workers",2015-07-01,448
UNITED KINGDOM,Craft and related trades workers,2016-06-01,15993
DEUTSCHLAND,Clerical support workers,2013-06-01,10
UNITED KINGDOM,Elementary occupations,2015-01-01,4
ČESKÁ REPUBLIKA,Clerical support workers,2014-12-01,12
ITALIA,Professionals,2014-02-01,3
UNITED KINGDOM,Clerical support workers,2016-06-01,30868
IRELAND,Service and sales workers,2015-06-01,1986
IRELAND,"Skilled agricultural, forestry and fishery workers",2015-06-01,10
IRELAND,"Plant and machine operators, and assemblers",2016-03-01,154
