country,esco,S_YEAR_MONTH,count,date
France,Technicians and associate professionals,2015/03,992,2015-03-01
Czech Republic,Technicians and associate professionals,2015/04,606,2015-04-01
Bulgaria,Managers,2015/04,998,2015-04-01
Austria,Clerical support workers,2015/05,79,2015-05-01
Netherlands,Professionals,2015/05,692,2015-05-01
Poland,Technicians and associate professionals,2015/06,1281,2015-06-01
Estonia,Professionals,2015/07,330,2015-07-01
Bulgaria,Clerical support workers,2015/08,730,2015-08-01
Poland,Clerical support workers,2015/08,1199,2015-08-01
Bulgaria,"Skilled agricultural, forestry and fishery workers",2015/11,99,2015-11-01
Greece,Technicians and associate professionals,2016/02,2004,2016-02-01
Spain,Service and sales workers,2016/02,5119,2016-02-01
Spain,"Skilled agricultural, forestry and fishery workers",2016/03,496,2016-03-01
Slovenia,Clerical support workers,2016/06,436,2016-06-01
Finland,Craft and related trades workers,2016/08,164,2016-08-01
Romania,"Skilled agricultural, forestry and fishery workers",2016/10,545,2016-10-01
Portugal,Service and sales workers,2016/10,1368,2016-10-01
Slovenia,Professionals,2016/11,1683,2016-11-01
Czech Republic,Service and sales workers,2015/10,323,2015-10-01
Finland,Technicians and associate professionals,2015/03,460,2015-03-01
Finland,Service and sales workers,2015/05,400,2015-05-01
Greece,Service and sales workers,2015/06,514,2015-06-01
Hungary,Craft and related trades workers,2015/06,520,2015-06-01
Belgium,"Plant and machine operators, and assemblers",2015/07,43,2015-07-01
Latvia,"Plant and machine operators, and assemblers",2015/07,66,2015-07-01
Austria,Clerical support workers,2015/11,98,2015-11-01
Netherlands,Craft and related trades workers,2016/03,58,2016-03-01
Sweden,"Plant and machine operators, and assemblers",2016/08,40,2016-08-01
Czech Republic,Professionals,2016/10,932,2016-10-01
Austria,Clerical support workers,2016/11,151,2016-11-01
Slovenia,Elementary occupations,2015/08,174,2015-08-01
Lithuania,Service and sales workers,2015/09,247,2015-09-01
Netherlands,Managers,2015/12,351,2015-12-01
Lithuania,Technicians and associate professionals,2016/01,447,2016-01-01
Hungary,"Skilled agricultural, forestry and fishery workers",2015/04,124,2015-04-01
Lithuania,Elementary occupations,2015/06,193,2015-06-01
Malta,"Plant and machine operators, and assemblers",2015/12,9,2015-12-01
Cyprus,"Plant and machine operators, and assemblers",2016/03,14,2016-03-01
Luxembourg,"Skilled agricultural, forestry and fishery workers",2015/08,1,2015-08-01
Luxembourg,Craft and related trades workers,2015/11,1,2015-11-01
Romania,Technicians and associate professionals,2015/05,1912,2015-05-01
Portugal,Clerical support workers,2015/10,891,2015-10-01
Croatia,Craft and related trades workers,2016/01,1507,2016-01-01
France,Managers,2016/01,1313,2016-01-01
Croatia,Clerical support workers,2016/01,1298,2016-01-01
Portugal,Elementary occupations,2016/05,478,2016-05-01
Denmark,Professionals,2016/06,293,2016-06-01
Netherlands,"Skilled agricultural, forestry and fishery workers",2016/06,21,2016-06-01
Spain,Technicians and associate professionals,2016/07,11558,2016-07-01
Greece,Professionals,2016/07,5616,2016-07-01
Netherlands,Service and sales workers,2016/08,297,2016-08-01
Bulgaria,Elementary occupations,2016/09,704,2016-09-01
Denmark,Professionals,2016/10,327,2016-10-01
Poland,Managers,2016/11,785,2016-11-01
Greece,Craft and related trades workers,2016/01,514,2016-01-01
Czech Republic,Craft and related trades workers,2016/03,167,2016-03-01
Denmark,Service and sales workers,2016/11,98,2016-11-01
Romania,"Skilled agricultural, forestry and fishery workers",2015/03,386,2015-03-01
Hungary,"Skilled agricultural, forestry and fishery workers",2016/06,94,2016-06-01
France,Elementary occupations,2016/09,259,2016-09-01
United Kingdom,Clerical support workers,2015/09,213,2015-09-01
Finland,"Plant and machine operators, and assemblers",2016/04,130,2016-04-01
Sweden,Managers,2015/03,116,2015-03-01
Netherlands,Craft and related trades workers,2015/11,56,2015-11-01
Portugal,"Skilled agricultural, forestry and fishery workers",2016/02,62,2016-02-01
Austria,Service and sales workers,2016/10,104,2016-10-01
United Kingdom,"Skilled agricultural, forestry and fishery workers",2015/11,19,2015-11-01
Slovakia,Service and sales workers,2016/10,146,2016-10-01
Malta,Service and sales workers,2015/12,30,2015-12-01
Slovakia,"Plant and machine operators, and assemblers",2015/09,44,2015-09-01
Cyprus,"Plant and machine operators, and assemblers",2015/10,14,2015-10-01
Estonia,Armed forces occupations,2015/07,1,2015-07-01
Czech Republic,"Skilled agricultural, forestry and fishery workers",2015/12,45,2015-12-01
Sweden,"Skilled agricultural, forestry and fishery workers",2016/10,9,2016-10-01
Austria,"Skilled agricultural, forestry and fishery workers",2016/03,2,2016-03-01
Bulgaria,Armed forces occupations,2016/06,1,2016-06-01
Portugal,Service and sales workers,2015/04,1572,2015-04-01
Sweden,Service and sales workers,2015/04,396,2015-04-01
Italy,Elementary occupations,2015/06,2073,2015-06-01
Bulgaria,"Plant and machine operators, and assemblers",2015/08,556,2015-08-01
United Kingdom,Technicians and associate professionals,2015/08,370,2015-08-01
Portugal,Craft and related trades workers,2015/10,420,2015-10-01
Latvia,Professionals,2015/10,274,2015-10-01
Lithuania,Professionals,2015/11,660,2015-11-01
Italy,"Skilled agricultural, forestry and fishery workers",2016/02,462,2016-02-01
France,Clerical support workers,2016/02,962,2016-02-01
Spain,"Skilled agricultural, forestry and fishery workers",2016/02,487,2016-02-01
France,Technicians and associate professionals,2016/03,2124,2016-03-01
Italy,"Plant and machine operators, and assemblers",2016/04,1837,2016-04-01
Portugal,Managers,2016/04,1038,2016-04-01
Lithuania,Professionals,2016/04,773,2016-04-01
France,Elementary occupations,2016/05,222,2016-05-01
United Kingdom,Clerical support workers,2016/06,249,2016-06-01
France,Professionals,2016/07,4804,2016-07-01
Germany,Managers,2016/08,842,2016-08-01
Czech Republic,Service and sales workers,2016/08,440,2016-08-01
Bulgaria,Clerical support workers,2016/08,920,2016-08-01
Italy,Service and sales workers,2016/09,8602,2016-09-01
Greece,Service and sales workers,2015/04,960,2015-04-01
Portugal,Craft and related trades workers,2015/05,339,2015-05-01
Latvia,Clerical support workers,2016/04,128,2016-04-01
Cyprus,Service and sales workers,2016/10,55,2016-10-01
Greece,"Skilled agricultural, forestry and fishery workers",2016/04,52,2016-04-01
Czech Republic,Managers,2016/05,232,2016-05-01
Austria,"Plant and machine operators, and assemblers",2015/12,18,2015-12-01
Luxembourg,Technicians and associate professionals,2016/03,28,2016-03-01
Portugal,"Skilled agricultural, forestry and fishery workers",2015/09,47,2015-09-01
Denmark,Craft and related trades workers,2016/03,19,2016-03-01
Cyprus,Elementary occupations,2015/04,78,2015-04-01
