country,esco,count
Spain,"Plant and machine operators, and assemblers",29976
Slovakia,Clerical support workers,3108
Greece,"Skilled agricultural, forestry and fishery workers",1064
Poland,"Plant and machine operators, and assemblers",23503
Slovenia,Professionals,30211
Estonia,Craft and related trades workers,2197
Cyprus,Managers,2147
Slovenia,Craft and related trades workers,3819
Finland,"Skilled agricultural, forestry and fishery workers",580
Italy,Technicians and associate professionals,268903
Austria,Service and sales workers,1539
Finland,Clerical support workers,10102
France,Craft and related trades workers,5244
Croatia,"Skilled agricultural, forestry and fishery workers",4416
Spain,Professionals,555829
Belgium,"Plant and machine operators, and assemblers",1119
Netherlands,Professionals,21432
Finland,Managers,7688
Croatia,"Plant and machine operators, and assemblers",19503
Romania,Clerical support workers,35048
Poland,Managers,13135
Austria,"Skilled agricultural, forestry and fishery workers",32
Belgium,Elementary occupations,1535
Sweden,Elementary occupations,1213
Lithuania,"Plant and machine operators, and assemblers",3812
Lithuania,Elementary occupations,5224
Slovakia,Service and sales workers,2587
Italy,"Skilled agricultural, forestry and fishery workers",9386
Poland,Service and sales workers,25257
Greece,Craft and related trades workers,10803
Estonia,Elementary occupations,2451
Sweden,Clerical support workers,4136
Slovenia,Technicians and associate professionals,14238
Estonia,Armed forces occupations,25
Latvia,Technicians and associate professionals,3973
Slovakia,Elementary occupations,2547
Czech Republic,Craft and related trades workers,3399
Hungary,Professionals,61259
Cyprus,Craft and related trades workers,523
Lithuania,Technicians and associate professionals,9834
Italy,Clerical support workers,200943
Belgium,Technicians and associate professionals,15053
Croatia,Elementary occupations,18744
Germany,Professionals,48717
Croatia,Technicians and associate professionals,66324
Croatia,Craft and related trades workers,31696
Austria,Clerical support workers,2366
Lithuania,"Skilled agricultural, forestry and fishery workers",1127
Denmark,Clerical support workers,1486
Spain,Service and sales workers,105110
France,Technicians and associate professionals,38090
Luxembourg,Craft and related trades workers,50
Belgium,Managers,8538
Portugal,Clerical support workers,20628
Netherlands,Technicians and associate professionals,9431
Czech Republic,"Skilled agricultural, forestry and fishery workers",1096
Slovakia,"Skilled agricultural, forestry and fishery workers",423
Denmark,"Skilled agricultural, forestry and fishery workers",92
Cyprus,Clerical support workers,1287
Poland,"Skilled agricultural, forestry and fishery workers",4045
Czech Republic,"Plant and machine operators, and assemblers",3707
Bulgaria,Armed forces occupations,22
Denmark,Elementary occupations,320
Sweden,Professionals,13597
Netherlands,Service and sales workers,5451
Greece,"Plant and machine operators, and assemblers",8014
Croatia,Professionals,120799
United Kingdom,Professionals,21827
Hungary,Armed forces occupations,10
Cyprus,Professionals,11873
Austria,Technicians and associate professionals,3559
Italy,Armed forces occupations,226
Romania,Professionals,92390
Portugal,Professionals,127508
Bulgaria,Craft and related trades workers,14641
Cyprus,Service and sales workers,979
Poland,Armed forces occupations,154
Slovenia,Service and sales workers,8437
Croatia,Clerical support workers,28039
Belgium,Clerical support workers,8609
Romania,Managers,20782
United Kingdom,Service and sales workers,5813
Austria,Elementary occupations,435
Portugal,"Skilled agricultural, forestry and fishery workers",1221
Czech Republic,Clerical support workers,8114
Malta,Elementary occupations,192
France,Service and sales workers,18613
Estonia,Clerical support workers,2793
Italy,Craft and related trades workers,62201
Slovenia,"Plant and machine operators, and assemblers",3183
Netherlands,Managers,7594
Lithuania,Craft and related trades workers,4183
Finland,"Plant and machine operators, and assemblers",2644
Germany,"Plant and machine operators, and assemblers",2696
Greece,Armed forces occupations,97
Netherlands,Craft and related trades workers,1187
Romania,Service and sales workers,36300
Lithuania,Clerical support workers,6005
Slovakia,Technicians and associate professionals,4295
Slovenia,"Skilled agricultural, forestry and fishery workers",663
Spain,Technicians and associate professionals,214319
Finland,Service and sales workers,12042
Malta,"Plant and machine operators, and assemblers",204
Lithuania,Professionals,15450
Malta,Service and sales workers,640
Sweden,"Plant and machine operators, and assemblers",707
Romania,"Plant and machine operators, and assemblers",32450
Luxembourg,"Plant and machine operators, and assemblers",44
Slovenia,Clerical support workers,7953
Hungary,Craft and related trades workers,12974
Latvia,Professionals,6732
United Kingdom,Managers,5855
Romania,Craft and related trades workers,34672
Italy,Elementary occupations,56556
United Kingdom,"Plant and machine operators, and assemblers",1044
Croatia,Armed forces occupations,143
Netherlands,"Plant and machine operators, and assemblers",1219
Poland,Technicians and associate professionals,35928
Greece,Managers,17688
Bulgaria,Service and sales workers,22322
Greece,Elementary occupations,8374
Spain,Managers,59831
Slovakia,Craft and related trades workers,1135
Romania,"Skilled agricultural, forestry and fishery workers",10496
Luxembourg,"Skilled agricultural, forestry and fishery workers",37
Latvia,Craft and related trades workers,2145
Germany,"Skilled agricultural, forestry and fishery workers",580
Luxembourg,Professionals,979
Netherlands,Elementary occupations,926
Bulgaria,Clerical support workers,17583
Lithuania,Managers,5611
Hungary,Elementary occupations,25358
Estonia,Service and sales workers,4010
